Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,272.74,271.89,260.66,340.76,210.93,211.68,355.56,385.09,445.96,355.28,175.58
Short-Term Investments,950.56,946.35,975.78,665.05,553.72,499.2,391.68,255.93,113.87,34.09,30
Cash & Short-Term Investments,"1,223","1,218","1,236","1,006",764.65,710.88,747.24,641.02,559.84,389.38,205.58
Cash Growth,1.52%,-1.47%,22.93%,31.54%,7.56%,-4.87%,16.57%,14.50%,43.78%,89.41%,9.84%
Accounts Receivable,213.01,211.93,154.07,152.94,142.23,162.1,126.97,153.41,149.67,141.05,110.07
Other Receivables,-,28.83,24.86,24.54,18.03,23.82,13.75,8.58,9.88,14.62,6.91
Receivables,213.01,240.76,178.93,177.47,160.26,185.92,140.72,161.99,159.55,155.67,116.98
Inventory,286.68,268.3,282.69,302.11,234.51,199.13,192.26,170.78,143.32,137.53,105.68
Prepaid Expenses,-,32.99,11.1,9.78,36.79,6.99,8.27,14.17,11.63,6.61,10.57
Other Current Assets,56.56,-,-,-,-,-,-,-,-,1.65,0.89
Total Current Assets,"1,780","1,760","1,709","1,495","1,196","1,103","1,088",987.96,874.33,698,446.73
"Property, Plant & Equipment","1,440","1,294","1,166",972.61,890.8,858.16,699.77,657.23,635.12,616.69,459.53
Long-Term Investments,-,6.78,6.78,6.72,32.03,40.89,40.85,29.05,30.76,15.72,1.72
Goodwill,-,7,7,7,7,7,7,7,7,7,7
Other Intangible Assets,-,3.2,5.12,7.03,11.82,10.96,10.28,13.44,19.84,28.13,34.47
Long-Term Deferred Tax Assets,-,1.77,1.81,32.79,53.53,57.8,66.36,73.46,82.85,-,-
Other Long-Term Assets,32.8,6.96,22.96,26.28,39.87,16.42,20.09,21.84,23.73,14.36,15.92
Total Assets,"3,253","3,080","2,919","2,548","2,231","2,094","1,933","1,790","1,674","1,380",965.37
Accounts Payable,131.91,130.62,139.13,150.93,78.71,96.94,119.2,104.33,115.35,99.26,91.77
Accrued Expenses,-,65.2,51.05,59.17,58.34,52.4,51.36,51.74,54,54.2,46.87
Short-Term Debt,-,-,-,-,-,-,-,-,53.3,16.22,6.58
Current Portion of Long-Term Debt,33.2,19.68,15.17,19.49,43.07,65.1,37.73,-,49.63,31.87,26.68
Current Portion of Leases,-,28.7,43.78,42.78,40.79,41.41,28.2,10.81,3.03,-,-
Current Income Taxes Payable,-,12.43,7.4,7.95,10.27,4.94,0.28,12.1,8.57,10.34,7.65
Current Unearned Revenue,19.93,21.66,18.42,38.91,39.99,10.03,10.32,20.71,14.34,26.17,23.37
Other Current Liabilities,84.21,6.78,1.89,68.15,5.15,2.1,5.96,4.04,4.16,9.06,8.2
Total Current Liabilities,269.24,285.06,276.84,387.39,276.33,272.91,253.06,203.72,302.37,247.12,211.12
Long-Term Debt,130.88,79.81,88.36,84.38,118.62,146.54,195.92,220.29,215.9,296.14,256.02
Long-Term Leases,-,52.63,84.25,125.69,112.36,137.23,49.9,36.38,12.82,-,-
Pension & Post-Retirement Benefits,-,4.99,6.1,7.71,14.62,15.83,13.29,13.9,14.66,14.18,14.19
Long-Term Deferred Tax Liabilities,-,-,-,13.01,23.96,41.29,45.75,50.4,63.92,95.23,69.74
Other Long-Term Liabilities,19.9,17.82,35.93,40.89,69.97,25.45,28.2,29.08,34.25,44.6,28.71
Total Liabilities,420.02,440.31,491.48,659.07,615.85,639.25,586.11,553.77,643.93,697.27,579.78
Common Stock,"2,833",446.56,443.63,440.15,435.45,431,426.11,418.49,391.73,369.06,326.57
Additional Paid-In Capital,-,"1,378","1,381","1,384","1,389","1,393","1,395","1,380","1,348","1,319","1,274"
Retained Earnings,-,675.48,467.62,-50.88,-315.45,-465.46,-547.4,-637.45,-773.03,"-1,071","-1,274"
Treasury Stock,-,-9.07,-9.07,-9.07,-9.07,-9.07,-9.07,-9.07,-9.07,-9.07,-9.07
Comprehensive Income & Other,-,162.36,149.41,126.58,122.02,108.25,89.53,90.6,78.56,82.36,79.95
Total Common Equity,"2,833","2,653","2,432","1,891","1,622","1,458","1,355","1,243","1,036",690.03,397.34
Minority Interest,-,-13.14,-5.46,-2.64,-6.62,-2.91,-7.82,-6.76,-6.35,-7.42,-11.76
Shareholders' Equity,"2,833","2,640","2,427","1,889","1,615","1,455","1,347","1,236","1,030",682.61,385.59
Total Liabilities & Equity,"3,253","3,080","2,919","2,548","2,231","2,094","1,933","1,790","1,674","1,380",965.37
Total Debt,164.09,180.81,231.56,272.34,314.84,390.28,311.75,267.48,334.68,344.23,289.28
Net Cash (Debt),"1,059","1,037","1,005",733.47,449.81,320.6,435.49,373.54,225.15,45.15,-83.7
Net Cash Growth,4.70%,3.24%,37.00%,63.06%,40.30%,-26.38%,16.59%,65.90%,398.69%,-,-
Net Cash Per Share,9.35,9.23,9.04,6.62,4.10,2.96,4.05,3.64,2.13,0.45,-1.13
Filing Date Shares Outstanding,112.13,111.55,110.83,109.97,108.88,107.92,106.81,105,98.46,92.99,82.06
Total Common Shares Outstanding,112.13,111.55,110.83,109.95,108.88,107.92,106.81,104.98,98.46,92.99,82.06
Working Capital,"1,510","1,475","1,432","1,108",919.88,830,835.43,784.24,571.96,450.88,235.61
Book Value Per Share,25.26,23.79,21.95,17.20,14.90,13.51,12.68,11.84,10.52,7.42,4.84
Tangible Book Value,"2,833","2,643","2,420","1,877","1,603","1,440","1,337","1,223","1,009",654.9,355.88
Tangible Book Value Per Share,25.26,23.69,21.84,17.07,14.72,13.34,12.52,11.65,10.25,7.04,4.34
Land,-,463.56,429.19,429.28,432.07,430.26,363.13,347.8,343.25,-,-
Buildings,-,-,-,-,-,-,-,-,-,333.7,292.3
Machinery,-,"4,282","3,977","3,577","3,254","2,998","2,685","2,428","2,265","2,093","1,808"
