Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"11,083","5,733","3,361","4,721","4,294","2,777","2,567","1,547","3,343","1,732","1,152"
Market Cap Growth,120.73%,70.56%,-28.81%,9.94%,54.64%,8.18%,65.88%,-53.71%,92.95%,50.31%,50.81%
Enterprise Value,"10,024","4,721","2,359","4,083","3,894","2,388","2,163","1,233","3,154","1,742","1,253"
Last Close Price,99.09,51.51,30.52,43.20,39.68,25.82,24.06,14.74,34.08,19.03,14.06
PE Ratio,57.29,27.58,6.48,17.85,28.63,33.74,28.51,11.41,11.22,8.49,-
Forward PE,36.80,24.42,15.00,18.08,19.58,19.20,21.35,8.38,14.97,10.19,4.96
PS Ratio,7.32,3.99,2.36,2.81,2.85,2.19,2.08,1.19,2.41,1.39,1.20
PB Ratio,3.92,2.17,1.39,2.50,2.66,1.91,1.91,1.25,3.25,2.54,2.99
P/TBV Ratio,3.91,2.17,1.39,2.52,2.68,1.93,1.92,1.27,3.31,2.65,3.24
P/FCF Ratio,333.01,457.55,14.48,28.89,39.95,-,25.69,15.07,19.90,15.75,-
P/OCF Ratio,24.26,12.78,4.97,8.91,10.19,10.04,8.81,4.95,9.40,5.29,6.77
PEG Ratio,1.83,1.16,1.06,1.21,1.45,1.54,1.71,0.72,0.79,0.51,0.22
EV/Sales Ratio,6.62,3.29,1.66,2.43,2.58,1.89,1.75,0.95,2.27,1.39,1.31
EV/EBITDA Ratio,21.29,10.46,5.14,6.87,8.91,7.20,7.18,3.34,7.36,4.68,5.03
EV/EBIT Ratio,59.04,25.51,11.72,13.52,23.39,26.23,24.95,7.96,14.35,9.98,15.49
EV/FCF Ratio,301.18,376.80,10.16,24.99,36.23,-,21.65,12.01,18.78,15.84,-
Debt / Equity Ratio,0.06,0.07,0.10,0.14,0.20,0.27,0.23,0.22,0.33,0.50,0.75
Debt / EBITDA Ratio,0.35,0.40,0.50,0.45,0.71,1.15,1.01,0.72,0.78,0.93,1.16
Debt / FCF Ratio,4.93,14.43,1.00,1.67,2.93,-,3.12,2.60,1.99,3.13,-
Asset Turnover,0.48,0.48,0.52,0.70,0.70,0.63,0.66,0.75,0.91,1.07,1.04
Inventory Turnover,4.22,3.98,3.66,4.51,5.44,5.28,5.53,6.44,7.36,7.78,7.80
Quick Ratio,5.34,5.12,5.11,3.06,3.35,3.29,3.51,3.94,2.38,2.21,1.53
Current Ratio,6.61,6.18,6.17,3.86,4.33,4.04,4.30,4.85,2.89,2.83,2.12
Return on Equity (ROE),7.03%,8.18%,24.08%,15.21%,10.04%,5.95%,6.82%,11.77%,35.23%,39.16%,-10.02%
Return on Assets (ROA),3.36%,3.86%,4.60%,7.90%,4.81%,2.83%,2.91%,5.59%,9.00%,9.30%,5.47%
Return on Capital (ROIC),3.66%,4.22%,5.22%,9.23%,5.51%,3.25%,3.43%,6.75%,11.49%,12.82%,8.04%
Return on Capital Employed (ROCE),5.70%,6.60%,7.60%,14.00%,8.50%,5.00%,5.20%,9.80%,16.00%,15.40%,10.70%
Earnings Yield,1.76%,3.63%,15.43%,5.60%,3.49%,2.96%,3.51%,8.76%,8.91%,11.77%,-2.57%
FCF Yield,0.30%,0.22%,6.91%,3.46%,2.50%,-1.34%,3.89%,6.64%,5.03%,6.35%,-0.15%
Buyback Yield / Dilution,-1.22%,-1.01%,-0.42%,-0.87%,-1.21%,-0.97%,-4.80%,3.24%,-4.58%,-36.22%,-17.70%
