Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023"
Cash & Equivalents,471.49,441.8,146.71,202.49
Cash & Short-Term Investments,471.49,441.8,146.71,202.49
Cash Growth,268.06%,201.14%,-27.55%,-
Receivables,101.35,90.4,67.38,50.4
Prepaid Expenses,31.98,24.79,22.65,18.37
Restricted Cash,0.21,0.71,1.4,0.25
Other Current Assets,17.94,15.07,11.09,9.72
Total Current Assets,622.96,572.77,249.23,281.22
"Property, Plant & Equipment",64.5,80.69,140.44,143.23
Goodwill,845.84,845.84,830.87,830.87
Other Intangible Assets,230.17,250.73,280.65,325.37
Long-Term Deferred Charges,12.42,10.61,8.4,7.51
Other Long-Term Assets,7.99,8.02,8.08,12.19
Total Assets,"1,784","1,769","1,518","1,600"
Accounts Payable,8.45,6.03,5.82,8.32
Accrued Expenses,72.25,97.16,75.18,87.26
Current Portion of Long-Term Debt,1.07,1.07,1.8,1.35
Current Portion of Leases,12.85,13,11.01,8.42
Current Income Taxes Payable,0.58,0.77,1.18,0.78
Current Unearned Revenue,17.28,16.8,11.16,10.79
Other Current Liabilities,26.26,18.28,19.12,19.48
Total Current Liabilities,138.73,153.12,125.27,136.39
Long-Term Debt,103.73,104.01,174.58,176.24
Long-Term Leases,40.82,47.33,58.58,67.12
Other Long-Term Liabilities,11.19,9.61,7.68,6.11
Total Liabilities,294.47,314.06,366.11,385.85
Common Stock,0.09,0.09,0.03,0.03
Additional Paid-In Capital,"2,674","2,560",388.74,336.31
Retained Earnings,"-1,184","-1,106",-866.64,-671.49
Total Common Equity,"1,489","1,455",-477.86,-335.15
Shareholders' Equity,"1,489","1,455","1,152","1,215"
Total Liabilities & Equity,"1,784","1,769","1,518","1,600"
Total Debt,158.47,165.41,245.96,253.12
Net Cash (Debt),313.02,276.39,-99.25,-50.63
Net Cash Per Share,4.44,6.56,-2.98,-1.66
Filing Date Shares Outstanding,92.95,90.14,34.19,32.81
Total Common Shares Outstanding,92.83,90.05,34.19,32.81
Working Capital,484.24,419.65,123.96,144.83
Book Value Per Share,16.04,16.15,-13.98,-10.21
Tangible Book Value,413.41,358.02,"-1,589","-1,491"
Tangible Book Value Per Share,4.45,3.98,-46.49,-45.45
Machinery,35.93,34.34,37.8,30.28
Construction In Progress,-,-,-,25.67
Leasehold Improvements,59.42,64.94,85.54,55.29
