Period Ending,"Sep '25Sep 29, 2025","Dec '24Dec 30, 2024","Jan '24Jan 1, 2024","Jan '23Jan 2, 2023","Jan '22Jan 3, 2022","Dec '20Dec 28, 2020","Dec '19Dec 30, 2019","Dec '18Dec 31, 2018","Jan '18Jan 1, 2018","Jan '17Jan 2, 2017","Dec '15Dec 28, 2015"
Revenue,"2,783","2,443","2,233","2,495","2,249","2,105","2,133","2,238","2,659","2,533","2,095"
Revenue Growth (YoY),17.88%,9.41%,-10.52%,10.95%,6.81%,-1.31%,-4.67%,-15.83%,4.94%,20.90%,58.06%
Cost of Revenue,"2,221","1,965","1,819","2,037","1,877","1,746","1,756","1,835","2,229","2,110","1,785"
Gross Profit,562.36,477.38,413.27,457.97,372.01,359.02,377.18,402.67,429.58,423.62,310.14
"Selling, General & Admin",271.72,250.14,226.55,233.36,187.88,186.36,191.55,208.34,192,213.61,190.58
Research & Development,30.03,31.85,27.27,24.81,18.15,19.77,17.94,13.72,-,-,-
Amortization of Goodwill & Intangibles,27.58,35.55,48.68,37.1,35.75,38.84,45.78,56.98,23.63,24.25,18.89
Operating Expenses,329.33,317.53,302.5,295.27,241.78,244.97,255.27,279.04,215.63,237.87,209.47
Operating Income,233.03,159.84,110.77,162.7,130.24,114.06,121.91,123.63,213.95,185.75,100.67
Interest Expense,-44.16,-47.52,-48.12,-45.52,-45.48,-73.16,-82.09,-75.76,-53.9,-76.01,-59.75
Currency Exchange Gain (Loss),4.72,1.22,-4.06,12.76,-5.03,-10.48,-0.47,-0.79,-22.8,13.54,6.77
Other Non Operating Income (Expenses),9.14,14.2,10.05,5.22,9.79,9.26,7.25,4.76,4.67,3.79,1.42
EBT Excluding Unusual Items,202.72,127.75,68.63,135.15,89.52,39.69,46.61,51.85,141.92,127.07,49.1
Merger & Restructuring Charges,-7.46,-11.2,-24.35,-4.09,-4.25,-16.76,-12.28,-4.66,-1.19,-12.3,-41.83
Impairment of Goodwill,-32.6,-32.6,-44.1,-,-,-69.2,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,1.27,51.8,-,-,-,-,-,-,2.5
Other Unusual Items,-,-,-1.15,-,-15.22,-,-,-,-0.77,-47.77,-0.8
Pretax Income,162.66,83.95,0.3,182.86,70.05,-46.28,34.33,47.19,139.96,67,8.98
Income Tax Expense,30.73,27.65,19.02,88.28,15.64,-29.89,2.41,-88.21,15.23,31.43,34.59
Earnings From Continuing Operations,131.93,56.3,-18.72,94.58,54.41,-16.39,31.92,135.39,124.73,35.58,-25.62
Earnings From Discontinued Operations,-,-,-,-,-,193.92,9.38,38.19,-,-,-
Net Income to Company,131.93,56.3,-18.72,94.58,54.41,177.54,41.3,173.58,124.73,35.58,-25.62
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-0.51,-0.71,-0.26
Net Income,131.93,56.3,-18.72,94.58,54.41,177.54,41.3,173.58,124.21,34.86,-25.88
Net Income to Common,131.93,56.3,-18.72,94.58,54.41,177.54,41.3,173.58,124.21,34.86,-25.88
Net Income Growth,92.70%,-,-,73.82%,-69.35%,329.86%,-76.21%,39.75%,256.31%,-,-
Shares Outstanding (Basic),102,102,103,102,106,106,105,103,102,100,93
Shares Outstanding (Diluted),105,104,103,104,108,106,106,134,132,101,93
Shares Change (YoY),1.36%,1.32%,-1.08%,-3.96%,1.68%,0.03%,-20.67%,1.18%,30.54%,9.50%,10.41%
EPS (Basic),1.29,0.55,-0.18,0.93,0.51,1.67,0.39,1.68,1.22,0.35,-0.28
EPS (Diluted),1.26,0.54,-0.18,0.91,0.50,1.67,0.39,1.38,1.04,0.34,-0.28
EPS Growth,90.88%,-,-,82.00%,-70.04%,329.94%,-71.95%,32.83%,206.42%,-,-
Free Cash Flow,35.8,51.16,27.04,169.99,94.68,183.89,169.36,123.01,181.41,213.2,137.54
Free Cash Flow Per Share,0.34,0.49,0.26,1.64,0.88,1.73,1.59,0.92,1.37,2.10,1.48
Gross Margin,20.21%,19.54%,18.51%,18.36%,16.54%,17.05%,17.68%,17.99%,16.16%,16.72%,14.80%
Operating Margin,8.37%,6.54%,4.96%,6.52%,5.79%,5.42%,5.71%,5.53%,8.05%,7.33%,4.80%
Profit Margin,4.74%,2.31%,-0.84%,3.79%,2.42%,8.43%,1.94%,7.76%,4.67%,1.38%,-1.23%
Free Cash Flow Margin,1.29%,2.09%,1.21%,6.81%,4.21%,8.73%,7.94%,5.50%,6.82%,8.42%,6.56%
EBITDA,378.61,309.97,271.5,296.61,257.57,279.38,339.08,346.67,388.39,366.23,253.06
EBITDA Margin,13.60%,12.69%,12.16%,11.89%,11.45%,13.27%,15.90%,15.49%,14.61%,14.46%,12.08%
D&A For EBITDA,145.58,150.13,160.73,133.91,127.33,165.32,217.17,223.04,174.44,180.48,152.4
EBIT,233.03,159.84,110.77,162.7,130.24,114.06,121.91,123.63,213.95,185.75,100.67
EBIT Margin,8.37%,6.54%,4.96%,6.52%,5.79%,5.42%,5.71%,5.53%,8.05%,7.33%,4.80%
Effective Tax Rate,18.89%,32.94%,6402.36%,48.28%,22.32%,-,7.01%,-,10.88%,46.91%,385.41%
