Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Market Capitalization,"5,272","6,814","7,761","4,885","5,429","3,452","2,991","1,584","2,301","2,077","1,387"
Market Cap Growth,-29.29%,-12.20%,58.87%,-10.03%,57.30%,15.40%,88.83%,-31.17%,10.78%,49.80%,31.46%
Enterprise Value,"4,598","6,015","7,188","4,868","5,703","3,493","3,161","1,775","2,458","2,166","1,423"
Last Close Price,90.49,111.06,122.92,76.70,83.91,53.49,45.76,23.89,34.58,31.02,20.71
PE Ratio,16.79,17.10,15.87,7.34,10.48,14.39,17.08,10.91,19.62,20.86,17.44
Forward PE,16.14,16.17,16.21,9.78,12.98,15.31,15.56,9.69,17.82,18.31,16.11
PS Ratio,0.81,1.02,1.08,0.51,0.63,0.67,0.68,0.35,0.58,0.64,0.48
PB Ratio,1.66,2.10,2.54,1.88,2.69,2.33,2.38,1.46,2.36,2.41,1.81
P/TBV Ratio,1.96,2.50,3.13,2.35,3.51,3.06,3.12,1.98,3.27,3.34,2.50
P/FCF Ratio,19.40,16.61,9.96,7.43,15.03,13.96,11.31,76.07,35.15,17.49,11.07
P/OCF Ratio,9.69,10.60,8.09,5.87,10.59,10.26,8.56,13.58,16.85,12.04,8.22
PEG Ratio,-,1.19,1.01,0.61,0.81,0.96,0.79,0.84,1.78,1.83,1.61
EV/Sales Ratio,0.71,0.90,1.00,0.51,0.66,0.68,0.72,0.40,0.62,0.67,0.49
EV/EBITDA Ratio,8.32,9.30,9.24,4.55,6.82,8.35,10.09,6.78,10.50,10.41,8.05
EV/EBIT Ratio,11.64,12.07,11.12,5.09,7.73,10.10,12.83,8.85,13.61,13.17,10.49
EV/FCF Ratio,16.92,14.66,9.22,7.40,15.78,14.12,11.96,85.25,37.54,18.24,11.36
Debt / Equity Ratio,0.12,0.11,0.13,0.15,0.22,0.26,0.19,0.21,0.18,0.15,0.11
Debt / EBITDA Ratio,0.61,0.51,0.47,0.35,0.50,0.87,0.71,0.88,0.73,0.63,0.49
Debt / FCF Ratio,1.36,0.87,0.49,0.59,1.21,1.58,0.92,11.03,2.63,1.11,0.69
Asset Turnover,1.55,1.63,1.88,2.78,3.06,2.40,2.50,2.89,2.86,2.70,2.71
Inventory Turnover,8.18,7.49,6.82,8.09,9.45,8.26,7.15,7.67,7.93,7.88,7.71
Quick Ratio,3.11,3.38,3.06,2.05,1.38,2.03,1.61,1.31,1.25,1.25,1.61
Current Ratio,4.49,4.88,4.41,3.70,2.67,3.32,3.09,3.21,2.85,2.78,3.18
Return on Equity (ROE),10.16%,13.29%,18.20%,30.52%,31.57%,18.53%,15.55%,14.78%,13.52%,12.97%,11.61%
Return on Assets (ROA),5.91%,7.63%,10.51%,17.27%,16.32%,10.07%,8.71%,8.06%,8.19%,8.57%,7.95%
Return on Capital (ROIC),6.88%,8.85%,12.57%,21.93%,21.31%,12.81%,10.93%,10.18%,10.56%,11.14%,10.27%
Return on Capital Employed (ROCE),11.00%,13.70%,18.70%,31.20%,29.90%,17.80%,16.10%,15.00%,15.60%,16.10%,15.00%
Earnings Yield,5.89%,6.08%,6.63%,14.18%,9.87%,7.15%,6.01%,9.38%,5.19%,4.87%,5.81%
FCF Yield,5.15%,6.02%,10.04%,13.46%,6.65%,7.17%,8.84%,1.31%,2.84%,5.72%,9.03%
Dividend Yield,1.55%,1.19%,0.90%,1.24%,0.78%,0.94%,0.87%,1.51%,0.92%,0.94%,1.32%
Payout Ratio,25.97%,19.49%,13.27%,8.50%,7.51%,12.43%,13.66%,14.85%,16.41%,17.47%,20.48%
Buyback Yield / Dilution,2.93%,2.90%,0.02%,-0.50%,-0.71%,0.34%,0.50%,-0.12%,-0.23%,-0.60%,-0.51%
Total Shareholder Return,4.48%,4.09%,0.92%,0.74%,0.06%,1.27%,1.38%,1.39%,0.70%,0.33%,0.81%
