Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"2,232","2,185","2,024","1,371","4,380","4,214","1,195","1,925",-,-
Market Cap Growth,24.67%,7.98%,47.60%,-68.70%,3.95%,252.56%,-37.91%,-,-,-
Enterprise Value,"2,004","1,954","1,838","1,278","4,269","4,096","1,084","2,113",-,-
Last Close Price,16.19,16.35,14.87,10.44,34.16,34.52,10.67,18.11,-,-
PE Ratio,9.84,10.14,43.17,-,-,-,-,-,-,-
Forward PE,12.71,14.24,21.66,-,-,-,-,-,-,-
PS Ratio,2.77,2.84,2.94,2.22,8.71,11.28,3.98,7.60,-,-
PB Ratio,3.39,3.80,5.31,5.51,16.88,14.08,4.61,7.90,-,-
P/TBV Ratio,5.20,4.95,7.79,10.50,31.00,23.36,8.67,16.11,-,-
P/FCF Ratio,10.52,14.57,38.91,133.79,446.58,262.64,-,179.21,-,-
P/OCF Ratio,10.20,14.23,38.40,119.27,404.25,188.42,1129.74,140.07,-,-
PEG Ratio,-,0.22,0.22,-,-,-,-,-,-,-
EV/Sales Ratio,2.57,2.54,2.67,2.07,8.49,10.96,3.61,8.34,-,-
EV/EBITDA Ratio,13.54,21.99,-,-,-,-,-,-,-,-
EV/EBIT Ratio,14.53,23.22,-,-,-,-,-,-,-,-
EV/FCF Ratio,9.27,13.02,35.33,124.70,435.16,255.27,-,196.74,-,-
Debt / Equity Ratio,0.59,0.64,0.96,2.34,2.25,0.12,0.17,0.10,0.25,0.11
Debt / EBITDA Ratio,2.45,3.98,-,-,-,-,-,-,31.83,-
Debt / FCF Ratio,1.72,2.46,7.00,56.78,59.58,2.18,-,2.23,-,7.37
Asset Turnover,0.66,0.68,0.65,0.57,0.62,0.77,0.72,0.76,0.77,-
Quick Ratio,1.09,2.60,2.23,3.03,3.22,1.09,1.10,1.19,0.46,0.62
Current Ratio,1.44,3.39,3.02,3.76,3.98,1.82,1.88,2.01,1.26,1.37
Return on Equity (ROE),47.52%,45.08%,14.89%,-35.36%,-20.13%,-8.19%,-6.62%,-10.51%,-2.91%,-
Return on Assets (ROA),7.26%,4.68%,-0.66%,-5.36%,-3.53%,-2.87%,-2.79%,-2.20%,-0.74%,-
Return on Capital (ROIC),9.69%,6.22%,-0.89%,-6.91%,-4.83%,-4.40%,-4.11%,-3.35%,-1.17%,-
Return on Capital Employed (ROCE),21.20%,8.90%,-,-,-,-,-,-,-,-
Earnings Yield,10.85%,9.87%,2.32%,-6.55%,-1.28%,-0.54%,-1.39%,-1.03%,-,-
FCF Yield,9.50%,6.87%,2.57%,0.75%,0.22%,0.38%,-0.81%,0.56%,-,-
Buyback Yield / Dilution,-1.51%,-4.29%,-5.17%,-2.64%,-7.13%,-8.09%,-109.86%,-58.83%,-2.72%,-
