Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
"Selling, General & Admin",32.17,12.23,19.71,18.15
Research & Development,4.08,0.3,1.64,0.27
Operating Expenses,39.3,15.59,24.79,24.26
Operating Income,-39.3,-15.59,-24.79,-24.26
Interest Expense,-0.06,-0.32,-0.08,-
Interest & Investment Income,2.37,0.29,0.36,0.07
Other Non Operating Income (Expenses),-217.52,-0.37,-0.88,-
EBT Excluding Unusual Items,-254.51,-15.99,-25.39,-24.19
Gain (Loss) on Sale of Investments,-0.41,-0.41,-,-1.35
Other Unusual Items,-,-,16.85,-
Pretax Income,-254.92,-16.39,-8.54,-25.54
Earnings From Continuing Operations,-254.92,-16.39,-8.54,-25.54
Minority Interest in Earnings,0.77,0.66,1.12,1.7
Net Income,-254.15,-15.74,-7.42,-23.84
Preferred Dividends & Other Adjustments,31.23,8.17,5.65,6.36
Net Income to Common,-285.38,-23.91,-13.06,-30.21
Shares Outstanding (Basic),74,46,44,217
Shares Outstanding (Diluted),74,46,44,217
Shares Change (YoY),-67.63%,4.72%,-79.53%,-
EPS (Basic),-3.88,-0.51,-0.29,-0.14
EPS (Diluted),-3.88,-0.51,-0.29,-0.14
Free Cash Flow,-39.02,-16.28,-27.88,-29.95
Free Cash Flow Per Share,-0.53,-0.35,-0.63,-0.14
EBITDA,-39.05,-15.35,-24.49,-24.05
D&A For EBITDA,0.25,0.24,0.31,0.21
EBIT,-39.3,-15.59,-24.79,-24.26
