Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"1,546",97,323,-
Market Cap Growth,359.83%,-69.93%,-,-
Enterprise Value,"1,453",188,390,-
Last Close Price,16.87,11.48,10.33,-
PB Ratio,-,1.80,7.60,-
P/TBV Ratio,-,3.09,8.24,-
Debt / Equity Ratio,-0.01,0.02,0.03,0.66
Quick Ratio,14.90,2.42,2.36,2.51
Current Ratio,15.11,3.22,2.45,2.55
Return on Equity (ROE),-,-34.00%,-22.91%,-
Return on Assets (ROA),-13.93%,-15.41%,-24.95%,-
Return on Capital (ROIC),-,-19.80%,-32.03%,-
Earnings Yield,-6.83%,-16.21%,-2.30%,-
FCF Yield,-2.00%,-16.77%,-8.64%,-
Buyback Yield / Dilution,72.60%,-4.72%,79.53%,-
