Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,663","1,689","1,902","3,077","2,252","1,669","1,250","1,808","1,314","2,942","3,614"
Short-Term Investments,-,357,433,592,86,90,82,88,"1,130",190,395
Cash & Short-Term Investments,"1,663","2,046","2,335","3,669","2,338","1,759","1,332","1,896","2,444","3,132","4,009"
Cash Growth,2.34%,-12.38%,-36.36%,56.93%,32.92%,32.06%,-29.75%,-22.42%,-21.97%,-21.88%,-39.33%
Accounts Receivable,549,452,412,447,679,544,610,545,629,609,542
Other Receivables,-,74,188,184,81,101,34,144,356,245,394
Receivables,549,526,600,631,760,645,644,689,985,854,936
Inventory,-,15,23,18,111,111,169,141,72,125,104
Prepaid Expenses,-,49,51,50,24,43,45,39,31,26,21
Other Current Assets,672,264,149,"5,946","2,184",292,309,345,409,413,"15,450"
Total Current Assets,"2,884","2,900","3,158","10,314","5,417","2,850","2,499","3,110","3,941","4,550","20,520"
"Property, Plant & Equipment","3,566","3,016","2,898","2,892","6,717","6,879","7,340","4,932","6,237","6,719","6,239"
Long-Term Investments,-,65,53,"1,431",99,305,235,58,"1,955","2,485",365
Goodwill,-,338,349,394,"1,542","2,682","3,959","3,816","4,618","4,696","4,223"
Other Intangible Assets,"1,535","1,172","1,270","1,559","1,702","1,470","1,729","1,854","2,168","2,257","2,224"
Long-Term Deferred Tax Assets,-,368,312,273,228,186,134,197,336,343,150
Long-Term Deferred Charges,-,87,98,126,149,128,101,83,7,11,10
Other Long-Term Assets,829,90,80,31,67,51,62,52,222,132,123
Total Assets,"8,814","8,036","8,218","17,020","15,921","14,551","16,059","14,102","19,484","21,193","33,854"
Accounts Payable,"1,256","1,276","1,200","1,126","2,031","1,946","1,847","1,432","1,544","1,744","1,768"
Accrued Expenses,-,329,335,299,611,721,831,786,789,681,517
Current Portion of Long-Term Debt,"1,111","1,666","1,692","3,171","1,242","1,255","2,585","1,289","1,268","3,046","1,693"
Current Income Taxes Payable,-,179,154,179,228,175,102,196,306,298,137
Current Unearned Revenue,-,129,144,159,212,216,225,543,563,553,457
Other Current Liabilities,676,75,59,"4,294",450,97,178,167,180,235,"16,444"
Total Current Liabilities,"3,043","3,654","3,584","9,228","4,774","4,410","5,768","4,413","4,650","6,557","21,016"
Long-Term Debt,"2,283","1,998","2,487","4,507","6,737","6,920","5,676","6,567","10,362","8,070","8,095"
Long-Term Leases,"1,749","1,030",977,875,"2,667","1,912","2,083",-,-,-,-
Long-Term Unearned Revenue,-,8,13,10,20,17,18,10,12,14,15
Pension & Post-Retirement Benefits,-,-,-,-,-,-,-,-,54,17,33
Long-Term Deferred Tax Liabilities,-,27,26,36,115,127,141,180,376,331,404
Other Long-Term Liabilities,92,62,60,57,103,152,153,153,140,161,397
Total Liabilities,"7,167","6,779","7,147","14,713","14,416","13,538","13,839","11,323","15,594","15,150","29,960"
Common Stock,"1,647",2,2,39,2,2,2,2,2,2,2
Additional Paid-In Capital,-,"12,753","12,753","13,028","12,753","12,753","12,753","12,753","12,753","12,753","12,753"
Retained Earnings,-,"-3,530","-3,939","-1,694","-1,246","-1,919","-1,330","-1,412","-1,486",-439,"-2,706"
Comprehensive Income & Other,-,"-8,126","-7,958","-9,264","-10,923","-10,673","-10,199","-7,673","-6,938","-6,356","-6,284"
Total Common Equity,"1,647","1,099",858,"2,109",586,163,"1,226","3,670","4,331","5,960","3,765"
Minority Interest,-,158,213,198,919,850,994,-891,-441,83,129
Shareholders' Equity,"1,647","1,257","1,071","2,307","1,505","1,013","2,220","2,779","3,890","6,043","3,894"
Total Liabilities & Equity,"8,814","8,036","8,218","17,020","15,921","14,551","16,059","14,102","19,484","21,193","33,854"
Total Debt,"5,143","4,694","5,156","8,553","10,646","10,087","10,344","7,856","11,630","11,116","9,788"
Net Cash (Debt),"-3,480","-2,648","-2,821","-4,884","-8,308","-8,328","-9,012","-5,960","-9,186","-7,984","-5,779"
Net Cash Per Share,-44.25,-36.55,-40.16,-69.34,-116.55,-118.23,-128.82,-85.19,-131.30,-114.12,-82.60
Filing Date Shares Outstanding,68.76,70.62,70.24,70.13,69.97,69.97,69.97,69.97,69.97,69.96,69.96
Total Common Shares Outstanding,68.76,70.62,70.24,70.13,69.97,69.97,69.97,69.97,69.97,69.96,69.96
Working Capital,-159,-754,-426,"1,086",643,"-1,560","-3,269","-1,303",-709,"-2,007",-496
Book Value Per Share,23.95,15.56,12.22,30.07,8.38,2.33,17.52,52.45,61.90,85.19,53.82
Tangible Book Value,112,-411,-761,156,"-2,658","-3,989","-4,462","-2,000","-2,455",-993,"-2,682"
Tangible Book Value Per Share,1.63,-5.82,-10.83,2.22,-37.99,-57.01,-63.77,-28.59,-35.09,-14.19,-38.34
Land,-,163,-,-,-,-,-,-,-,461,423
Machinery,-,"5,147",-,-,-,-,-,-,-,"14,397","12,100"
