Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '07Dec 31, 2007","Dec '06Dec 31, 2006","Dec '05Dec 31, 2005"
Cash & Equivalents,313.51,296.05,68.18,91.8,73.33,303.05,75.9,55.84,28.36,16.12,13.59
Short-Term Investments,-,9.16,9.55,11.17,-,-,-,-,-,-,-
Cash & Short-Term Investments,313.51,305.21,77.72,102.98,73.33,303.05,75.9,55.84,28.36,16.12,13.59
Cash Growth,9.45%,292.70%,-24.53%,40.42%,-75.80%,299.26%,35.93%,96.90%,75.94%,18.64%,42.78%
Receivables,131.5,164.43,141.75,102.89,76.93,77.16,70.37,62.24,25.6,25.24,20.34
Prepaid Expenses,22.81,16.71,12.08,8.17,12.25,6.33,11.41,10.77,-,-,-
Restricted Cash,25.29,30.02,20.98,14.95,24.87,9.22,7.59,3.34,-,-,-
Other Current Assets,25.72,19.97,14.09,14.17,8.29,6.93,0.28,0.14,-,-,-
Total Current Assets,518.83,536.33,266.62,243.15,195.67,402.69,165.56,132.32,56.54,47.01,39.57
"Property, Plant & Equipment",20.31,20.8,23.68,22.77,29.88,15.95,21.16,49.48,10.01,31.2,31.55
Goodwill,392.89,357.82,257.84,251.84,270.04,16.33,-,-,-,-,-
Other Intangible Assets,232.86,210.27,132.83,139.7,124.86,74.98,65.65,23.07,-,-,-
Long-Term Deferred Tax Assets,0.02,0.02,41.71,30.94,35.3,33.83,0.22,-,-,-,-
Long-Term Deferred Charges,37.91,37.65,33.71,28.18,12.56,11.74,11.2,8.83,-,-,-
Other Long-Term Assets,4.04,3.9,3.54,2.61,1.9,3.26,0.85,1.37,-,-,-
Total Assets,"1,222","1,167",759.93,719.19,670.21,558.78,264.62,215.07,80.25,92.77,85.11
Accounts Payable,35.37,36.22,23.6,14.33,13,8.88,10.73,6.86,3.58,2.8,2.6
Accrued Expenses,86.43,90.1,85.75,73.23,67.79,58.35,59.68,48.17,-,-,-
Short-Term Debt,-,-,-,-,-,-,-,-,-,-,2
Current Portion of Long-Term Debt,-,-,2.5,2.19,-,-,50.15,4.91,-,-,-
Current Portion of Leases,4.31,4.07,3.79,4.19,4.22,0.88,0.65,-,-,-,-
Current Income Taxes Payable,6.19,5.16,5.37,2.33,2.51,2.58,-,-,-,-,-
Current Unearned Revenue,333.64,339.33,290.14,268.85,237.34,207.56,191.75,163.94,-,-,-
Other Current Liabilities,50,62.51,29.63,38.09,44.27,13.72,21.58,14.88,-,-,-
Total Current Liabilities,515.94,537.38,440.78,403.21,369.13,291.97,334.53,238.75,97.42,86.8,81.36
Long-Term Debt,336.91,335.22,44.06,46.71,-,-,-,49.97,-,-,-
Long-Term Leases,10.15,12.6,16.62,20.43,24.39,0.23,0.68,-,-,-,-
Long-Term Unearned Revenue,5.41,4.84,2.58,10.29,11.67,14.7,14.05,14.76,1.35,1.9,-
Long-Term Deferred Tax Liabilities,7.95,9.92,-,-,-,-,-,-,-,-,-
Other Long-Term Liabilities,81.02,87.49,2.91,8.83,34.94,22.55,45.14,37.86,1.17,26.81,32.29
Total Liabilities,957.39,987.44,506.95,489.47,440.12,329.44,394.4,341.35,99.93,115.51,113.65
Common Stock,0.16,0.16,0.15,0.15,0.15,0.15,0.05,0.05,-,-,-
Additional Paid-In Capital,304.18,278.39,275.16,244.82,222.62,206.54,-,-,-,-,-
Retained Earnings,-39.1,-53.32,-0.59,12.51,24.81,25.78,-90.7,-88.04,-,-,-
Treasury Stock,-,-,-,-,-,-,-38.64,-37.8,-,-,-
Comprehensive Income & Other,-0.76,-45.88,-21.74,-27.75,-17.5,-3.13,-0.49,-0.5,-,-,-
Shareholders' Equity,264.47,179.35,252.98,229.73,230.08,229.34,-129.78,-126.28,-19.68,-22.74,-28.55
Total Liabilities & Equity,"1,222","1,167",759.93,719.19,670.21,558.78,264.62,215.07,80.25,92.77,85.11
Total Debt,351.37,351.89,66.97,73.52,28.61,1.11,51.49,54.88,-,-,-
Net Cash (Debt),-37.87,-46.68,10.75,29.46,44.73,301.94,24.42,0.96,-,-,-
Net Cash Growth,-,-,-63.50%,-34.14%,-85.19%,1136.61%,2456.75%,-,-,-,-
Net Cash Per Share,-0.24,-0.30,0.07,0.20,0.30,2.30,0.20,0.01,-,-,-
Filing Date Shares Outstanding,159.53,158.18,154.33,151.03,149.15,146.44,120.42,120.63,-,-,-
Total Common Shares Outstanding,159.47,157.15,153.65,150.32,149.09,146.44,120.42,120.63,-,-,-
Working Capital,2.89,-1.04,-174.16,-160.06,-173.46,110.72,-168.97,-106.43,-,-,-
Book Value Per Share,1.66,1.14,1.65,1.53,1.54,1.57,-1.08,-1.05,-,-,-
Tangible Book Value,-361.28,-388.74,-137.69,-161.81,-164.82,138.04,-195.42,-149.34,-,-,-
Tangible Book Value Per Share,-2.27,-2.47,-0.90,-1.08,-1.11,0.94,-1.62,-1.24,-,-,-
Machinery,25.7,21.68,29.68,46.9,49.61,49.08,48.09,59.35,-,-,-
Leasehold Improvements,20.51,20.1,20.66,20.93,20.96,20.91,20.89,20.88,-,-,-
