Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '07Dec 31, 2007","Dec '06Dec 31, 2006","Dec '05Dec 31, 2005"
Revenue,732.19,666.78,572.39,491.62,425.55,374.67,321.5,272.4,-,-,-
Revenue Growth (YoY),13.83%,16.49%,16.43%,15.53%,13.58%,16.54%,18.02%,-,-,-,-
Cost of Revenue,259.56,240.65,223.81,193.13,161.89,165.39,110.38,95.7,-,-,-
Gross Profit,472.63,426.13,348.58,298.49,263.66,209.28,211.12,176.71,-,-,-
"Selling, General & Admin",361.74,320.36,282.6,246.11,206.01,248.48,139.14,115.85,-,-,-
Research & Development,80.98,66.67,58.21,41.88,44.02,54.34,30.56,23.76,-,-,-
Other Operating Expenses,0.94,-0.7,-0.01,2.24,0.8,0.05,0.49,-0.81,-,-,-
Operating Expenses,467.63,407.28,356,302.66,262.51,313.88,179.18,146.73,-,-,-
Operating Income,5,18.84,-7.42,-4.17,1.14,-104.6,31.94,29.98,-,-,-
Interest Expense,-,-,-4.16,-2.05,-0.98,-1.72,-0.95,-1.59,-,-,-
Interest & Investment Income,5.68,4.14,-,-,-,-,-,-,-,-,-
Currency Exchange Gain (Loss),-1.07,-1.07,-0.11,-0.04,0.18,-0.16,-0.08,-0.12,-,-,-
EBT Excluding Unusual Items,9.62,21.91,-11.7,-6.26,0.34,-106.48,30.9,28.27,-,-,-
Merger & Restructuring Charges,-2.03,-2.03,-4.85,-0.7,-4.27,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-,-,-32.69,-,-,-
Other Unusual Items,-3.63,-17.97,-5.13,-3.18,-,-1.39,-,-,-,-,-
Pretax Income,-2.48,1.91,-21.67,-10.13,-3.93,-107.87,30.9,-4.43,-,-,-
Income Tax Expense,51.1,54.64,-8.58,2.17,-2.45,-32.79,-0.16,1.68,-,-,-
Net Income,-53.58,-52.73,-13.09,-12.3,-1.48,-75.08,31.06,-6.11,-,-,-
Net Income to Common,-53.58,-52.73,-13.09,-12.3,-1.48,-75.08,31.06,-6.11,-,-,-
Shares Outstanding (Basic),158,155,152,150,148,132,121,121,-,-,-
Shares Outstanding (Diluted),158,155,152,150,148,132,121,121,-,-,-
Shares Change (YoY),-0.78%,2.27%,1.48%,1.26%,12.37%,9.11%,-0.08%,-,-,-,-
EPS (Basic),-0.34,-0.34,-0.09,-0.08,-0.01,-0.57,0.26,-0.05,-,-,-
EPS (Diluted),-0.34,-0.34,-0.09,-0.08,-0.01,-0.57,0.26,-0.05,-,-,-
Free Cash Flow,76.82,99.05,25.07,18.32,58.58,38.59,72.16,59.4,-,-,-
Free Cash Flow Per Share,0.49,0.64,0.17,0.12,0.40,0.29,0.60,0.49,-,-,-
Gross Margin,64.55%,63.91%,60.90%,60.72%,61.96%,55.86%,65.67%,64.87%,-,-,-
Operating Margin,0.68%,2.83%,-1.30%,-0.85%,0.27%,-27.92%,9.93%,11.01%,-,-,-
Profit Margin,-7.32%,-7.91%,-2.29%,-2.50%,-0.35%,-20.04%,9.66%,-2.24%,-,-,-
Free Cash Flow Margin,10.49%,14.85%,4.38%,3.73%,13.77%,10.30%,22.44%,21.80%,-,-,-
EBITDA,11.64,26.02,1.92,7.37,10.57,-95.58,39.89,37.3,-,-,-
EBITDA Margin,1.59%,3.90%,0.34%,1.50%,2.48%,-25.51%,12.41%,13.69%,-,-,-
D&A For EBITDA,6.64,7.18,9.34,11.54,9.42,9.02,7.95,7.32,-,-,-
EBIT,5,18.84,-7.42,-4.17,1.14,-104.6,31.94,29.98,-,-,-
EBIT Margin,0.68%,2.83%,-1.30%,-0.85%,0.27%,-27.92%,9.93%,11.01%,-,-,-
Effective Tax Rate,-,2862.13%,-,-,-,-,-,-,-,-,-
Revenue as Reported,732.19,666.78,572.39,491.62,425.55,374.67,321.5,272.4,-,-,-
Advertising Expenses,-,26.33,26,26.53,20.39,11.07,11.92,8.96,-,-,-
