Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,370","1,890",891.23,947.95,"2,050","1,329",320.29,307.93,294.11,278.7,353.9
Investment Securities,"2,094","1,882","1,728","1,679","3,001","2,518","1,154","1,226","1,046","1,169","1,657"
Trading Asset Securities,187.79,444.26,470.2,480.57,219.63,387.45,158.53,48.98,26.42,29.06,33.77
Mortgage-Backed Securities,"6,103","5,392","3,512","3,539",904.5,"1,090","2,875","2,697","2,355","2,128","1,549"
Total Investments,"8,386","7,718","5,710","5,699","4,125","3,995","4,187","3,972","3,427","3,326","3,240"
Gross Loans,"49,288","48,845","50,296","47,038","34,232","32,313","29,699","25,035","18,332","17,236","16,043"
Allowance for Loan Losses,-585,-558.85,-446.08,-458.66,-359.2,-340.24,-161.76,-151.86,-120.86,-114.42,-106.18
Other Adjustments to Gross Loans,-15.1,-45.3,-85.4,-120.5,-78.5,-95.8,-,-,-,-,-
Net Loans,"48,688","48,241","49,764","46,459","33,794","31,877","29,537","24,884","18,211","17,122","15,937"
"Property, Plant & Equipment",649.51,679.27,724.54,664.91,585.42,571.85,619.66,341.63,287.71,291.18,298.94
Goodwill,"1,869","1,869","1,869","1,869","1,459","1,382","1,374","1,085",690.64,690.64,686.34
Other Intangible Assets,87.47,107.53,138.38,173.65,46.7,48.5,62.09,52.88,20.89,26.02,32.49
Loans Held for Sale,18.09,25.68,30.64,18.12,139.52,301.43,76.11,35.16,15.12,57.71,16.38
Accrued Interest Receivable,242.86,239.94,245.5,196.61,96.88,106.23,105.64,95.3,73.99,66.82,63.55
Other Receivables,-,-,-,-,-,-,-,-,-,7.2,8.3
Restricted Cash,-,-,-,-,-,-,114.4,120.7,122,113.8,59.9
Long-Term Deferred Tax Assets,-,203.61,195.23,194.36,78.61,95.33,88.81,105.46,47.5,129.51,158.43
Other Real Estate Owned & Foreclosed,5.85,13.83,1.52,2.22,5.19,8.46,10.69,10.24,10.24,11.93,19
Other Long-Term Assets,"1,702","1,504","1,365","1,239","1,066",970.5,940.29,853.75,802.23,742.93,738.65
Total Assets,"63,019","62,492","60,935","57,463","43,446","40,686","37,436","31,863","24,002","22,864","21,613"
Accrued Expenses,455.88,682.5,633.79,672.31,251.1,204.09,203.45,163.56,150.16,130.55,135.61
Interest Bearing Deposits,"36,916","36,281","35,116","31,993","23,095","21,330","20,775","17,177","12,281","11,928","9,639"
Institutional Deposits,"2,600","2,367","2,588","1,180",861.5,"1,400","1,700","1,100",647.3,550.2,"1,700"
Non-Interest Bearing Deposits,"11,660","11,429","11,539","14,464","11,676","9,205","6,710","6,175","5,225","5,253","4,914"
Total Deposits,"51,176","50,076","49,243","47,637","35,632","31,936","29,186","24,453","18,153","17,731","16,254"
Short-Term Borrowings,245.66,526.92,"1,406",745.97,708.1,"1,304","1,137","2,143",772.96,"1,125","1,128"
Current Portion of Long-Term Debt,601.8,273,-,-,-,-,-,-,-,-,-
Current Portion of Leases,-,52.07,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,104.48,150.56,159.5,45.62,4.91,18.84,33.07,25.76,14.16,10.68,13.11
Long-Term Debt,442.29,647.55,638.36,754.64,634.64,703.41,642.41,344.6,335.15,402.24,538.14
"Federal Home Loan Bank Debt, Long-Term","1,862","2,254","1,690",788.42,789.03,"1,592","1,480","1,310","1,981","1,032","1,273"
Long-Term Leases,377.85,336.24,403.78,358.88,283.11,276.68,309.85,3.13,-,-,-
Trust Preferred Securities,57.72,57.46,57.11,56.76,56.41,56.07,55.72,55.37,41.77,41.58,41.41
Pension & Post-Retirement Benefits,-,-,-,-,-,1.4,1.6,1.7,2.1,2.7,3.4
Other Long-Term Liabilities,-,0.81,2.27,2.44,2.66,1.38,2.68,13.28,18.71,12.13,19.88
Total Liabilities,"55,323","55,057","54,234","51,062","38,362","36,094","33,052","28,513","21,469","20,487","19,406"
"Preferred Stock, Redeemable",354.35,354.35,209.69,209.69,209.69,-,-,-,-,-,-
"Preferred Stock, Non-Redeemable",-,-,-,-,-,209.69,209.69,209.69,209.69,111.59,111.59
Total Preferred Equity,354.35,354.35,209.69,209.69,209.69,209.69,209.69,209.69,209.69,111.59,111.59
Common Stock,196.73,196,178.19,178.19,148.48,141.75,141.42,116.24,92.73,92.35,88.63
Additional Paid-In Capital,"5,457","5,442","4,990","4,980","3,883","3,637","3,622","2,796","2,060","2,044","1,927"
Retained Earnings,"1,787","1,598","1,471","1,218",883.65,611.16,443.56,299.64,216.73,172.75,125.17
Treasury Stock,-0.99,-,-1.39,-21.75,-22.86,-0.23,-0.48,-2.19,-0.34,-1.85,-
Comprehensive Income & Other,-98.8,-155.33,-146.46,-164,-17.93,-7.72,-32.21,-69.43,-46.01,-42.09,-45.7
Total Common Equity,"7,341","7,081","6,492","6,191","4,874","4,382","4,174","3,141","2,323","2,266","2,096"
Shareholders' Equity,"7,695","7,435","6,701","6,401","5,084","4,592","4,384","3,350","2,533","2,377","2,207"
Total Liabilities & Equity,"63,019","62,492","60,935","57,463","43,446","40,686","37,436","31,863","24,002","22,864","21,613"
Total Debt,"3,587","4,147","4,195","2,705","2,471","3,933","3,625","3,855","3,131","2,601","2,980"
Net Cash (Debt),"-2,029","-1,812","-2,834","-1,276",-201.75,"-2,216","-3,146","-3,498","-2,810","-2,293","-2,592"
Net Cash Per Share,-3.64,-3.50,-5.56,-2.62,-0.49,-5.47,-9.25,-10.52,-10.61,-8.98,-11.06
Filing Date Shares Outstanding,557.64,560.28,508.88,507.75,421.39,405.61,403.75,331.98,330.82,263.84,254.11
Total Common Shares Outstanding,560.78,558.79,507.71,506.37,421.44,403.86,403.28,331.43,264.47,263.64,253.79
Book Value Per Share,13.09,12.67,12.79,12.23,11.57,10.85,10.35,9.48,8.79,8.59,8.26
Tangible Book Value,"5,385","5,104","4,484","4,149","3,369","2,951","2,739","2,003","1,612","1,549","1,377"
Tangible Book Value Per Share,9.60,9.13,8.83,8.19,7.99,7.31,6.79,6.04,6.10,5.88,5.42
