Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,972","4,997","4,933","2,639","5,235","5,191","2,369","1,559","1,352",715,484
Market Cap Growth,-32.53%,1.29%,86.97%,-49.60%,0.86%,119.12%,51.98%,15.32%,89.05%,47.64%,-39.96%
Enterprise Value,"3,389","4,541","4,513","2,165","4,724","5,139","2,304","1,401","1,223",603,379
Last Close Price,33.69,44.43,45.28,23.94,48.78,54.54,25.90,17.63,16.18,8.93,6.27
Forward PE,131.60,154.00,131.97,110.89,-,-,-,277.69,275.70,-,-
PS Ratio,6.26,9.07,9.88,5.57,13.42,17.74,9.32,5.77,6.28,4.31,3.81
PB Ratio,6.57,10.97,10.07,5.26,8.78,55.18,25.33,12.43,11.79,8.64,5.79
P/TBV Ratio,8.78,11.55,10.60,5.54,9.20,79.75,25.33,12.43,11.79,8.64,5.79
P/FCF Ratio,29.65,46.05,90.83,5555.09,-,-,-,111.64,122.46,202.99,-
P/OCF Ratio,27.02,43.38,83.03,222.28,729.35,-,-,66.20,82.66,97.31,-
PEG Ratio,-,-,-,-,-,-,-,17.36,13.79,-,-
EV/Sales Ratio,5.57,8.24,9.04,4.57,12.11,17.56,9.06,5.18,5.68,3.64,2.98
EV/FCF Ratio,25.29,41.85,83.09,4558.94,-,-,-,100.32,110.82,171.18,-
Debt / Equity Ratio,0.86,1.66,0.64,0.63,0.51,2.90,0.61,-,-,-,-
Debt / FCF Ratio,3.89,6.95,5.74,666.24,-,-,-,-,-,-,-
Asset Turnover,0.38,0.40,0.47,0.44,0.47,0.67,0.84,1.02,1.01,0.96,0.79
Quick Ratio,1.60,1.14,2.35,3.83,4.38,2.16,1.24,1.67,1.83,1.91,2.17
Current Ratio,1.81,1.24,2.50,3.96,4.53,2.30,1.35,1.77,1.94,1.94,2.19
Return on Equity (ROE),-22.17%,-20.26%,-20.35%,-22.67%,-33.84%,-100.22%,-71.96%,-23.81%,-14.03%,-17.07%,-23.83%
Return on Assets (ROA),-5.01%,-5.01%,-6.82%,-7.04%,-7.41%,-11.22%,-15.74%,-6.86%,-3.92%,-4.32%,-7.41%
Return on Capital (ROIC),-6.92%,-6.90%,-9.04%,-8.82%,-9.74%,-18.94%,-34.42%,-15.17%,-8.50%,-9.01%,-13.35%
Earnings Yield,-2.88%,-1.92%,-2.05%,-4.72%,-2.23%,-1.81%,-3.33%,-1.83%,-1.02%,-1.98%,-4.40%
FCF Yield,3.37%,2.17%,1.10%,0.02%,-0.06%,-0.31%,-1.52%,0.90%,0.82%,0.49%,-1.50%
Buyback Yield / Dilution,-2.05%,-2.31%,0.13%,-3.77%,-11.63%,-3.93%,-4.26%,-5.66%,-4.02%,-4.79%,-18.62%
