Period Ending,"Nov '25Nov 14, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"4,878","1,345","2,267","2,584","3,632","3,294","2,232","4,687","3,870","3,675","3,591"
Market Cap Growth,273.51%,-40.65%,-12.28%,-28.84%,10.25%,47.61%,-52.39%,21.12%,5.29%,2.35%,25.66%
Enterprise Value,"10,726","7,390","8,403","5,709","6,054","5,196","4,108","5,808","4,732","4,244","4,470"
Last Close Price,36.06,10.42,18.09,33.84,48.80,48.07,35.92,77.50,65.72,63.82,73.48
PE Ratio,-,-,-,2.38,-,892.49,-,-,-,154.64,165.17
Forward PE,69.35,11.43,5.67,12.12,24.43,37.34,29.77,129.53,-,87.73,47.80
PS Ratio,1.03,0.30,0.53,1.01,1.50,1.72,0.97,2.27,2.43,2.36,2.53
PB Ratio,1.08,0.29,0.45,0.67,1.35,1.38,1.09,2.45,2.09,2.12,3.17
P/TBV Ratio,13.45,4.85,4.48,0.82,1.86,1.71,1.39,3.13,2.72,2.72,4.50
P/OCF Ratio,4.61,1.48,3.29,7.03,7.18,4.53,5.11,14.31,10.79,8.94,12.09
PEG Ratio,-,2.59,2.59,2.76,0.95,1.56,0.22,-,-,5.23,3.87
EV/Sales Ratio,2.34,1.64,1.96,2.23,2.51,2.71,1.78,2.81,2.97,2.72,3.15
EV/EBITDA Ratio,7.58,5.36,7.49,14.38,15.00,17.62,12.54,27.38,36.13,16.98,17.81
EV/EBIT Ratio,89.90,102.75,359.18,-,-,-,106.91,-,-,116.39,108.70
Debt / Equity Ratio,1.55,1.62,1.51,0.72,1.06,0.92,1.06,0.74,0.55,0.49,0.83
Debt / EBITDA Ratio,4.51,4.93,6.09,5.41,5.80,5.91,5.43,6.66,7.82,3.40,3.77
Asset Turnover,0.28,0.28,0.36,0.36,0.41,0.38,0.53,0.56,0.50,0.58,0.62
Inventory Turnover,10.11,9.90,9.90,7.87,6.40,4.30,6.09,7.14,6.24,6.80,7.20
Quick Ratio,1.63,1.39,2.19,1.85,0.81,0.76,1.05,1.16,0.73,1.21,1.17
Current Ratio,2.08,1.72,2.69,2.35,1.51,1.40,1.73,1.83,1.31,1.89,1.86
Return on Equity (ROE),-10.17%,-10.93%,-23.45%,-6.47%,-4.01%,-3.00%,0.70%,-3.53%,-3.81%,1.52%,2.00%
Return on Assets (ROA),0.46%,0.28%,0.12%,-0.85%,-0.85%,-0.56%,0.55%,-1.03%,-1.81%,0.85%,1.13%
Return on Capital (ROIC),0.57%,0.36%,0.15%,-0.99%,-0.98%,-0.65%,0.64%,-1.22%,-2.11%,0.98%,1.31%
Return on Capital Employed (ROCE),0.90%,0.50%,0.20%,-,-,-,0.90%,-,-,1.40%,1.90%
Earnings Yield,-10.71%,-42.73%,-47.15%,41.97%,-0.43%,0.11%,-0.01%,-1.44%,-1.74%,0.65%,0.60%
FCF Yield,3.00%,-9.07%,-37.55%,-30.82%,-13.35%,-3.04%,-11.52%,-6.60%,-3.95%,-2.81%,-2.25%
Buyback Yield / Dilution,-3.90%,-9.63%,-54.37%,-3.43%,-10.46%,-7.81%,-2.82%,-2.57%,-9.44%,-7.99%,-2.40%
