Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,434","2,324","2,657","4,652","7,268","9,283","10,430","13,039","22,887","8,757","4,030"
Market Cap Growth,13.40%,-12.53%,-42.89%,-35.99%,-21.71%,-11.00%,-20.01%,-43.03%,161.34%,117.33%,43.47%
Enterprise Value,"2,238","2,079","2,443","4,222","7,108","8,532","9,751","12,325","22,153","8,282","3,684"
Last Close Price,9.95,8.58,8.95,14.72,23.85,31.56,35.68,44.98,79.65,31.26,15.01
PE Ratio,5.66,7.73,7.75,54.37,16.97,29.62,21.09,22.80,64.91,81.07,115.98
Forward PE,6.44,5.29,5.29,8.50,9.77,15.54,16.54,19.22,44.30,37.83,44.44
PS Ratio,1.36,1.32,1.51,2.53,3.22,5.49,5.90,7.59,19.90,13.35,8.43
PB Ratio,0.62,0.65,0.76,1.37,1.97,3.22,4.57,7.46,19.16,11.56,6.42
P/TBV Ratio,0.67,0.72,0.86,1.51,2.21,3.57,4.66,7.69,19.42,11.81,6.63
P/FCF Ratio,-,4.02,4.18,12.66,11.24,13.13,17.10,28.37,44.12,39.27,23.55
P/OCF Ratio,-,3.63,3.95,8.25,8.93,12.52,16.51,26.72,42.45,37.07,22.14
PEG Ratio,-,-,3.12,-,0.94,3.95,1.74,1.74,1.74,1.74,1.74
EV/Sales Ratio,1.29,1.19,1.39,2.30,3.15,5.05,5.52,7.17,19.26,12.63,7.71
EV/EBITDA Ratio,4.08,3.76,4.60,7.74,9.45,15.83,15.64,19.27,52.39,53.45,63.03
EV/EBIT Ratio,4.56,4.21,5.17,8.60,10.19,16.84,16.32,19.89,54.36,58.75,98.23
EV/FCF Ratio,-,3.60,3.84,11.49,11.00,12.07,15.99,26.81,42.71,37.14,21.53
Debt / Equity Ratio,0.47,0.53,0.77,0.73,0.68,0.84,0.74,0.51,0.74,-,-
Debt / EBITDA Ratio,3.39,3.34,4.91,4.38,3.24,4.42,2.67,1.38,2.08,-,-
Debt / FCF Ratio,-,3.29,4.25,6.77,3.86,3.45,2.78,1.92,1.70,-,-
Asset Turnover,0.26,0.26,0.24,0.25,0.33,0.30,0.44,0.59,0.64,0.70,0.62
Quick Ratio,3.02,2.82,2.06,3.08,1.79,4.16,3.71,3.58,4.08,1.91,2.19
Current Ratio,3.35,3.61,2.51,3.73,2.23,5.05,4.54,3.92,4.22,2.15,2.39
Return on Equity (ROE),12.37%,8.74%,10.35%,2.76%,12.53%,12.17%,24.46%,38.91%,35.89%,15.25%,5.72%
Return on Assets (ROA),4.54%,4.48%,4.10%,4.19%,6.29%,5.69%,9.25%,13.28%,14.16%,9.39%,3.04%
Return on Capital (ROIC),5.42%,5.28%,4.88%,5.08%,7.58%,6.82%,11.31%,16.46%,17.99%,12.72%,3.92%
Return on Capital Employed (ROCE),8.30%,8.90%,8.60%,8.30%,13.00%,9.40%,14.90%,23.40%,19.60%,18.60%,5.90%
Earnings Yield,19.11%,12.95%,12.90%,1.84%,5.89%,3.38%,4.74%,4.39%,1.54%,1.23%,0.86%
FCF Yield,-,24.89%,23.94%,7.90%,8.89%,7.61%,5.85%,3.52%,2.27%,2.55%,4.25%
Dividend Yield,16.50%,9.56%,-,-,-,-,-,-,-,-,-
Payout Ratio,56.56%,64.63%,58.42%,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,-2.85%,-10.53%,-1.51%,-2.69%,-1.13%,-0.54%,2.70%,-3.25%,-1.12%,-2.27%,-16.61%
Total Shareholder Return,13.73%,-0.97%,-1.51%,-2.69%,-1.13%,-0.54%,2.70%,-3.25%,-1.12%,-2.27%,-16.61%
