Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"1,629","1,742",-,-
Enterprise Value,"1,069","1,245",-,-
Last Close Price,12.47,13.58,-,-
Forward PE,-,44.02,-,-
PS Ratio,1.15,1.29,-,-
PB Ratio,1.10,1.12,-,-
P/TBV Ratio,2.54,2.78,-,-
P/FCF Ratio,-,112.57,-,-
P/OCF Ratio,-,97.44,-,-
EV/Sales Ratio,0.76,0.92,-,-
EV/FCF Ratio,-,80.46,-,-
Debt / Equity Ratio,0.02,0.01,0.03,0.04
Debt / EBITDA Ratio,-,-,1.60,-
Debt / FCF Ratio,-,1.11,7.26,-
Asset Turnover,0.69,0.73,0.68,-
Quick Ratio,2.29,2.43,1.32,1.46
Current Ratio,2.52,2.67,1.56,1.65
Return on Equity (ROE),-8.49%,-10.53%,-10.11%,-
Return on Assets (ROA),-1.38%,-2.29%,-0.91%,-
Return on Capital (ROIC),-1.70%,-2.87%,-1.17%,-
Return on Capital Employed (ROCE),-2.70%,-4.20%,-1.90%,-6.20%
Earnings Yield,-8.04%,-8.26%,-,-
FCF Yield,-0.81%,0.89%,-,-
Buyback Yield / Dilution,-13.53%,-8.88%,-2.82%,-
