Period Ending,"Nov '25Nov 18, 2025","Aug '25Aug 31, 2025","Aug '24Aug 31, 2024","Aug '23Aug 31, 2023","Aug '22Aug 31, 2022","Aug '21Aug 31, 2021","Aug '20Aug 31, 2020","Aug '19Aug 31, 2019","Aug '18Aug 31, 2018","Aug '17Aug 31, 2017","Aug '16Aug 31, 2016"
Market Capitalization,"2,644","2,924","3,561","2,914","2,578","3,285","2,793","2,503","2,462","1,527","1,685"
Market Cap Growth,-26.16%,-17.89%,22.20%,13.05%,-21.52%,17.62%,11.59%,1.67%,61.19%,-9.37%,38.88%
Enterprise Value,"2,683","2,979","3,632","3,020","2,671","3,331","2,878","2,563","2,506","1,570","1,693"
Last Close Price,195.35,215.00,257.42,207.40,179.35,223.79,188.70,165.92,159.27,96.24,102.69
PE Ratio,29.21,32.22,51.31,44.34,38.43,46.96,46.23,45.03,37.99,29.03,32.22
Forward PE,32.17,39.14,48.14,38.89,33.48,41.14,45.12,39.72,39.96,28.01,32.19
PS Ratio,4.27,4.72,6.03,5.42,4.97,6.73,6.84,5.91,6.03,4.01,4.43
PB Ratio,9.85,10.90,15.45,13.87,13.67,16.39,17.42,17.20,15.83,10.96,12.00
P/TBV Ratio,16.34,18.08,29.77,29.31,29.34,33.77,49.92,63.40,53.10,55.44,65.93
P/FCF Ratio,31.70,35.06,40.55,31.84,-,47.16,52.34,50.49,46.92,43.11,27.65
P/OCF Ratio,30.06,33.25,38.69,29.62,989.93,38.78,38.44,39.82,37.97,27.48,25.80
PEG Ratio,-,1.11,1.11,1.11,1.11,1.11,3.57,3.57,1.92,1.92,1.92
EV/Sales Ratio,4.33,4.80,6.15,5.62,5.15,6.82,7.04,6.05,6.14,4.13,4.45
EV/EBITDA Ratio,23.96,26.60,34.32,30.86,27.93,34.75,33.89,28.49,29.01,18.98,21.76
EV/EBIT Ratio,25.85,28.70,37.69,33.66,30.59,37.49,37.27,31.11,31.88,20.68,23.73
EV/FCF Ratio,32.17,35.72,41.35,33.00,-,47.82,53.93,51.71,47.77,44.31,27.78
Debt / Equity Ratio,0.36,0.36,0.45,0.61,0.82,0.62,0.76,0.56,0.56,1.11,0.87
Debt / EBITDA Ratio,0.84,0.84,0.94,1.28,1.57,1.27,1.41,0.90,1.00,1.86,1.57
Debt / FCF Ratio,1.17,1.17,1.17,1.40,-,1.79,2.29,1.64,1.65,4.35,2.00
Asset Turnover,1.34,1.34,1.33,1.23,1.20,1.23,1.23,1.37,1.19,1.07,1.12
Inventory Turnover,3.51,3.51,3.33,2.76,3.30,4.63,4.53,4.95,5.10,4.96,5.21
Quick Ratio,1.80,1.80,1.59,1.66,1.20,2.04,2.28,1.34,1.38,2.41,2.95
Current Ratio,2.79,2.79,2.47,2.80,2.25,2.81,3.08,1.98,1.96,2.98,3.57
Return on Equity (ROE),36.49%,36.49%,31.61%,33.10%,34.62%,38.94%,39.71%,37.15%,44.23%,37.84%,35.29%
Return on Assets (ROA),14.03%,14.03%,13.58%,12.86%,12.63%,14.01%,14.51%,16.62%,14.31%,13.38%,13.14%
Return on Capital (ROIC),18.55%,18.55%,17.92%,16.46%,16.35%,18.27%,18.95%,21.97%,18.36%,17.07%,16.88%
Return on Capital Employed (ROCE),27.80%,27.80%,27.90%,25.70%,27.00%,25.80%,25.50%,36.10%,34.00%,25.80%,25.40%
Earnings Yield,3.43%,3.11%,1.96%,2.26%,2.61%,2.14%,2.17%,2.23%,2.65%,3.47%,3.12%
FCF Yield,3.15%,2.85%,2.47%,3.14%,-0.22%,2.12%,1.91%,1.98%,2.13%,2.32%,3.62%
Dividend Yield,1.92%,1.75%,1.37%,1.60%,1.74%,1.26%,1.42%,1.47%,1.36%,2.04%,1.64%
Payout Ratio,56.20%,55.23%,67.77%,67.55%,62.36%,54.43%,59.36%,58.83%,45.37%,50.65%,44.97%
Buyback Yield / Dilution,0.10%,0.10%,0.18%,0.67%,0.27%,-0.10%,0.80%,0.95%,1.14%,1.78%,1.84%
Total Shareholder Return,2.02%,1.85%,1.54%,2.27%,2.01%,1.16%,2.22%,2.42%,2.50%,3.82%,3.48%
