Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,693.04,660.94,609.62,244.69,451.36,168.86,268.1,331.06,85.23,93.06,39.23
Short-Term Investments,421.95,445.44,353.27,818.78,868.2,867.07,458.4,372.61,148.11,78.24,70.77
Cash & Short-Term Investments,"1,115","1,106",962.89,"1,063","1,320","1,036",726.5,703.67,233.34,171.3,110
Cash Growth,41.65%,14.90%,-9.46%,-19.41%,27.38%,42.59%,3.25%,201.56%,36.22%,55.73%,27.89%
Receivables,55.51,44.67,57.39,42.09,30.37,23.67,16.99,13.53,11.4,8.28,6.46
Prepaid Expenses,95.82,20.91,17.89,13.55,16.68,13.98,8.47,5.29,13.96,11.82,8.82
Other Current Assets,0.9,108.44,32.03,28.64,23.21,27.61,11.89,7.8,6.23,6.46,7.02
Total Current Assets,"1,278","1,280","1,070","1,148","1,390","1,101",763.85,730.28,264.94,197.86,132.3
"Property, Plant & Equipment",515.18,528.02,557.49,309.35,151.53,124.27,110.96,21.95,16.2,8.75,8.73
Long-Term Investments,5.26,6.14,64.81,194.96,387.34,536.88,177.3,47.23,-,-,-
Goodwill,87.6,49.33,49.33,49.33,49.3,24.24,17.8,17.8,17.8,1.74,1.74
Other Intangible Assets,24.65,22.14,28.01,33.96,40.25,19.28,19.84,24.43,27.25,3.72,4.46
Other Long-Term Assets,32.93,27.02,34.3,23.03,41.55,87.68,9.93,3.07,3.82,2.62,2.2
Total Assets,"2,014","1,913","1,804","1,758","2,060","1,894","1,100",844.75,330.01,214.68,149.43
Accounts Payable,25.24,47.08,38.31,96.07,114.58,79.88,37.69,45.57,34.24,20.71,12.28
Accrued Expenses,228.19,206.38,125.27,142.11,142.97,115.81,95.68,64.67,61.31,37.12,33.34
Current Portion of Long-Term Debt,574.47,572.88,-,361.62,-,-,-,-,-,-,-
Current Portion of Leases,32.81,27.91,24.98,29.27,29.2,22.34,18.95,-,-,-,-
Current Unearned Revenue,715.71,661.17,592.61,529.21,484.45,409.7,289.15,227.23,202.48,146.99,100.56
Other Current Liabilities,6.3,0,7.87,32.2,3.09,3.77,2.73,2.93,4.35,1.96,1.89
Total Current Liabilities,"1,583","1,515",789.03,"1,190",774.3,631.5,444.19,340.39,302.38,206.77,148.07
Long-Term Debt,-,-,569.71,566.57,922.97,834.44,359.93,339,1.22,-,-
Long-Term Leases,392.76,369.16,401.63,172.98,81.76,74.19,64.24,-,-,-,-
Long-Term Unearned Revenue,105.33,89.27,83.38,70.59,59.97,50.87,21.97,12.49,14.33,9.75,4.21
Long-Term Deferred Tax Liabilities,5.48,1.97,7.17,14.9,72.8,15.34,1.59,0.6,0.76,0.63,0.89
Other Long-Term Liabilities,45.66,16.02,7.7,6.09,2.27,-,-,-,-,-,0.08
Total Liabilities,"2,132","1,992","1,859","2,022","1,914","1,606",891.92,692.49,318.69,217.15,153.24
Common Stock,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.09,0.08,0.07,0.06
Additional Paid-In Capital,"1,989","1,841","1,540","1,275",994.8,862.13,611.08,472.24,311.11,241.15,192.79
Retained Earnings,-810.07,-901.54,"-1,040","-1,073",-648.14,-584.46,-404.79,-318.37,-299.58,-243.31,-196.41
Treasury Stock,"-1,325","-1,025",-558.88,-431.86,-200,-,-,-,-,-,-
Comprehensive Income & Other,28.48,7.24,4.19,-33.46,-1.06,9.41,1.36,-1.69,-0.29,-0.39,-0.25
Shareholders' Equity,-117.66,-78.79,-54.49,-263.24,145.72,287.19,207.75,152.27,11.32,-2.47,-3.81
Total Liabilities & Equity,"2,014","1,913","1,804","1,758","2,060","1,894","1,100",844.75,330.01,214.68,149.43
Total Debt,"1,000",969.95,996.32,"1,130","1,034",930.96,443.13,339,1.22,-,-
Net Cash (Debt),120.22,142.57,31.38,127.99,672.96,641.84,460.67,411.9,232.12,171.3,110
Net Cash Growth,-,354.33%,-75.48%,-80.98%,4.85%,39.33%,11.84%,77.45%,35.50%,55.73%,27.89%
Net Cash Per Share,1.98,2.38,0.54,2.21,11.81,11.79,9.12,8.58,5.10,4.08,2.79
Filing Date Shares Outstanding,55.69,55.9,55.97,56.82,57.8,56.57,52.09,49.86,46.89,44.84,40.32
Total Common Shares Outstanding,55.69,56.11,57.17,56.31,57.25,56.03,51.53,49.27,46.45,44.3,40.27
Working Capital,-304.38,-235.01,281.17,-42.74,615.52,469.69,319.66,389.89,-37.44,-8.91,-15.77
Book Value Per Share,-2.11,-1.40,-0.95,-4.68,2.55,5.13,4.03,3.09,0.24,-0.06,-0.09
Tangible Book Value,-229.91,-150.26,-131.82,-346.54,56.17,243.68,170.11,110.04,-33.73,-7.92,-10
Tangible Book Value Per Share,-4.13,-2.68,-2.31,-6.15,0.98,4.35,3.30,2.23,-0.73,-0.18,-0.25
Machinery,-,49.61,53.27,47.21,42.47,34.04,30.09,23.33,17.77,9.25,8.28
Leasehold Improvements,-,129.33,125.08,114.4,53.01,41.1,34.83,22.55,17.39,12.13,10.45
