Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,068","12,009","7,032","4,517","8,987","13,908","6,260","4,368","2,616","1,892",903
Market Cap Growth,-22.39%,70.78%,55.69%,-49.74%,-35.38%,122.17%,43.32%,66.97%,38.30%,109.46%,12.62%
Enterprise Value,"6,947","12,013","7,001","4,200","8,301","13,282","5,807","3,986","2,409","1,746",803
Last Close Price,126.92,214.55,123.02,76.83,157.79,249.96,122.38,90.34,57.55,44.55,22.75
PE Ratio,45.13,86.82,212.21,-,-,-,-,-,-,-,-
Forward PE,19.07,30.47,26.59,230.65,-,-,115.11,72.17,185.89,-,-
PS Ratio,3.78,6.82,4.50,3.26,7.08,14.13,8.26,7.24,6.15,6.52,4.44
PB Ratio,-,-152.43,-129.06,-17.16,61.67,48.43,30.13,28.69,231.10,-766.11,-237.33
P/TBV Ratio,-,-,-,-,160.00,57.08,36.80,39.70,-,-,-
P/FCF Ratio,12.82,25.04,37.96,-,300.41,107.28,48.85,42.81,36.64,52.31,62.13
P/OCF Ratio,12.63,24.14,28.33,121.57,136.82,93.94,41.86,37.75,31.50,46.62,43.26
PEG Ratio,-,-,-,-,-,-,5.71,-,-,-,-
EV/Sales Ratio,3.72,6.82,4.48,3.03,6.54,13.49,7.66,6.60,5.66,6.02,3.94
EV/EBITDA Ratio,39.93,91.53,215.58,-,-,-,-,-,-,-,-
EV/EBIT Ratio,48.33,119.96,1161.20,-,-,-,-,-,-,-,-
EV/FCF Ratio,12.60,25.05,37.80,-,277.48,102.45,45.32,39.07,33.73,48.29,55.22
Debt / Equity Ratio,-8.50,-12.31,-18.29,-4.29,7.10,3.24,2.13,2.23,0.11,-,-
Debt / EBITDA Ratio,4.60,5.53,13.61,-,-,-,-,-,-,-,-
Debt / FCF Ratio,1.81,2.02,5.38,-,34.56,7.18,3.46,3.32,0.02,-,-
Asset Turnover,1.04,0.95,0.88,0.73,0.64,0.66,0.78,1.03,1.56,1.59,1.52
Quick Ratio,0.74,0.76,1.29,0.93,1.74,1.68,1.67,2.11,0.81,0.87,0.79
Current Ratio,0.81,0.85,1.36,0.96,1.80,1.74,1.72,2.15,0.88,0.96,0.89
Return on Equity (ROE),-,-,-,-,-54.15%,-67.43%,-48.75%,-45.38%,-1271.56%,-,-691.60%
Return on Assets (ROA),4.98%,3.37%,0.21%,-9.34%,-10.29%,-8.31%,-5.24%,-3.26%,-11.48%,-15.12%,-22.70%
Return on Capital (ROIC),11.60%,6.83%,0.42%,-17.43%,-16.97%,-13.31%,-8.93%,-7.60%,-620.79%,-,-409.52%
Return on Capital Employed (ROCE),33.30%,25.20%,0.60%,-,-,-,-,-,-,-,-
Earnings Yield,2.35%,1.15%,0.47%,-9.41%,-1.30%,-1.20%,-1.40%,-0.85%,-2.15%,-2.48%,-5.68%
FCF Yield,7.80%,3.99%,2.63%,-0.69%,0.33%,0.93%,2.05%,2.34%,2.73%,1.91%,1.61%
Buyback Yield / Dilution,-3.89%,-2.66%,-0.71%,-1.74%,-4.74%,-7.76%,-5.18%,-5.41%,-8.37%,-6.66%,-4.13%
