Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,567","1,153","1,089",832.61,"1,528","1,647",571.75,619.76,720.49,821.92,561.18
Investment Securities,500.63,379.96,384.03,406.53,321.56,353.39,203.65,187.18,179.16,199.98,196.78
Trading Asset Securities,147.88,170.49,153.65,156.99,5.15,14.45,4.88,0.83,-,-,-
Mortgage-Backed Securities,"4,115","4,164","4,538","4,824","4,985","2,297","1,945","1,205",837.5,758.91,690.12
Total Investments,"4,763","4,714","5,076","5,388","5,312","2,665","2,153","1,393","1,017",958.89,886.89
Gross Loans,"12,961","13,314","12,884","12,008","7,941","9,061","8,481","4,911","4,825","4,492","3,799"
Allowance for Loan Losses,-183.23,-195.28,-186.13,-151.86,-94.51,-228.8,-47.58,-39.54,-40.6,-39.75,-37.09
Other Adjustments to Gross Loans,-,-122.85,-114.34,-95.68,-55.07,-36.67,-9.14,-7.35,-7.99,-7.67,-8.5
Net Loans,"12,777","12,996","12,583","11,760","7,791","8,796","8,424","4,864","4,776","4,444","3,753"
"Property, Plant & Equipment",190.02,217.15,235.09,253.79,231.43,247.54,270.69,44.96,47.98,48.87,39.57
Goodwill,885.22,885.9,885.9,883.64,472.83,472.83,472.83,166.01,166.01,167.54,85.21
Other Intangible Assets,83.93,96.94,112.62,122.55,71.11,81.7,92.61,18.67,21.5,23.07,9.6
Loans Held for Sale,63.05,49.7,29.27,42.99,113.35,197.54,83.87,25.32,31.06,54.78,41.81
Accrued Interest Receivable,79.51,84.67,85.98,74.45,41.6,44.34,38.09,22,19.41,17.03,14.04
Restricted Cash,6.39,1.7,4.27,4.65,5.05,7.39,-,1,3.38,-,-
Other Real Estate Owned & Foreclosed,0.44,5.2,1.57,0.83,2.32,3.06,2.61,2.67,2.5,3.59,5.08
Other Long-Term Assets,404.21,597.41,476.57,527.36,202.57,165.68,124.85,72.23,162.97,186.96,157.49
Total Assets,"20,840","20,814","20,595","19,915","15,777","14,334","12,256","7,249","7,000","6,765","5,585"
Interest Bearing Deposits,"11,989","11,596","11,245","10,281","8,545","7,957","6,778","3,688","3,528","3,212","2,804"
Institutional Deposits,-,446.44,312.08,182.75,130.05,484.45,619.16,325.99,298.93,260.56,254.01
Non-Interest Bearing Deposits,"5,237","4,988","4,917","5,740","4,565","3,415","2,190","1,626","1,421","1,266",958.24
Total Deposits,"17,226","17,030","16,474","16,204","13,240","11,857","9,587","5,640","5,248","4,738","4,017"
Short-Term Borrowings,144.27,183.61,737.68,561.91,47.82,52.65,214.92,209.42,62.62,194.15,142.69
Current Portion of Long-Term Debt,-,7.88,-,-,-,6.62,-,-,-,-,-
Current Portion of Leases,4.64,18.08,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,25.74,38.17,46.68,5.17,0.74,1.45,3.1,1.9,1.04,1.15,0.8
Long-Term Debt,148.8,218.63,218.4,248.17,147.94,246.62,98.61,98.39,98.17,152.05,53.76
"Federal Home Loan Bank Debt, Long-Term",-,43.16,-,-,-,-,112.68,328.47,710,854.24,669.51
Long-Term Leases,125.82,134.28,151.6,158.27,159.53,166.45,181.81,-,-,-,-
Trust Preferred Securities,90.98,90.83,90.64,90.44,67.01,67.01,67.01,67.01,67.01,67.01,67.01
Other Long-Term Liabilities,331.15,470.46,405.77,445.34,177.22,146.97,141.83,82.34,88.75,70.9,53.91
Total Liabilities,"18,098","18,235","18,125","17,713","13,840","12,544","10,407","6,428","6,275","6,078","5,004"
Common Stock,0.76,0.76,0.76,0.76,0.58,0.58,0.58,0.57,0.56,0.58,0.56
Additional Paid-In Capital,"2,003","1,996","1,985","1,974","1,059","1,053","1,049",349.81,336.27,329.46,256.44
Retained Earnings,"2,058","1,872","1,644","1,411","1,225",977.41,917.38,791.03,669.56,627.08,570.63
Treasury Stock,-833.77,-653.85,-557.54,-505.26,-307.32,-295.29,-140.21,-305.1,-273.89,-262.16,-247.85
Comprehensive Income & Other,-474.69,-624.88,-593.99,-675.84,-37.77,56.01,23.5,-15.39,-8.15,-7.62,0.7
Total Common Equity,"2,753","2,590","2,478","2,205","1,939","1,792","1,850",820.92,724.35,687.34,580.47
Minority Interest,-10.49,-10.38,-7.82,-3.23,-2.08,-2.25,-0.82,-,-,-,-
Shareholders' Equity,"2,743","2,579","2,470","2,202","1,937","1,789","1,849",820.92,724.35,687.34,580.47
Total Liabilities & Equity,"20,840","20,814","20,595","19,915","15,777","14,334","12,256","7,249","7,000","6,765","5,585"
Total Debt,514.52,696.48,"1,198","1,059",422.29,539.35,675.02,703.28,937.81,"1,267",932.97
Net Cash (Debt),"1,200",627.12,43.96,-69.18,"1,111","1,122",-98.38,-82.7,-217.32,-445.52,-371.79
Net Cash Growth,-,1326.48%,-,-,-1.04%,-,-,-,-,-,-
Net Cash Per Share,20.82,10.50,0.72,-1.09,23.28,22.21,-1.99,-2.57,-6.73,-14.33,-12.85
Filing Date Shares Outstanding,54.68,58.56,60.28,61.47,65.38,47.49,51.06,31.37,31.4,31.39,29.69
Total Common Shares Outstanding,55.43,58.66,60.54,61.61,47.61,47.76,51.57,31.37,31.42,31.39,29.76
Book Value Per Share,49.67,44.15,40.93,35.79,40.73,37.52,35.88,26.17,23.05,21.90,19.50
Tangible Book Value,"1,784","1,607","1,479","1,199","1,395","1,237","1,285",636.25,536.84,496.73,485.66
Tangible Book Value Per Share,32.19,27.39,24.43,19.46,29.30,25.91,24.92,20.28,17.09,15.82,16.32
