Ticker,Name,MarketCap,Sector,Industry
OTEX,Open Text Corporation,9962884096,Technology,Software - Application
TLT,iShares 20+ Year Treasury Bond ,9938271232,,
IUSV,iShares Core S&P U.S. Value ETF,9909702656,,
LSCC,Lattice Semiconductor Corporati,9896180736,Technology,Semiconductors
BPYPP,Brookfield Property Partners L.,9869541376,Real Estate,Real Estate Services
NVMI,Nova Ltd.,9851438080,Technology,Semiconductor Equipment & Materials
MDGL,"Madrigal Pharmaceuticals, Inc.",9658052608,Healthcare,Biotechnology
PEGA,Pegasystems Inc.,9456484352,Technology,Software - Application
MNDY,monday.com Ltd.,9392161792,Technology,Software - Application
FYBR,"Frontier Communications Parent,",9385523200,Communication Services,Telecom Services
IDCC,"InterDigital, Inc.",9368321024,Technology,Software - Application
FIGR,"Figure Technology Solutions, In",9347440640,Financial Services,Capital Markets
TECH,Bio-Techne Corp,9307042816,Healthcare,Biotechnology
MORN,"Morningstar, Inc.",9296816128,Financial Services,Financial Data & Stock Exchanges
ALGN,"Align Technology, Inc.",9283330048,Healthcare,Medical Instruments & Supplies
RGC,Regencell Bioscience Holdings L,9241997312,Healthcare,Drug Manufacturers - Specialty & Generic
RVMD,"Revolution Medicines, Inc.",9219545088,Healthcare,Biotechnology
MKSI,MKS Inc.,9123214336,Technology,Scientific & Technical Instruments
DOX,Amdocs Limited,9087539200,Technology,Software - Infrastructure
PPC,Pilgrim's Pride Corporation,8991170560,Consumer Defensive,Packaged Foods
CPB,The Campbell's Company,8929602560,Consumer Defensive,Packaged Foods
LBRDA,Liberty Broadband Corporation,8831432704,Communication Services,Telecom Services
LBRDK,Liberty Broadband Corporation,8830640128,Communication Services,Telecom Services
UMBF,UMB Financial Corporation,8830456832,Financial Services,Banks - Regional
AGNCM,AGNC Investment Corp. - Deposit,8819795968,Real Estate,REIT - Mortgage
AGNCN,AGNC Investment Corp. - Deposit,8809999360,Real Estate,REIT - Mortgage
TTAN,"ServiceTitan, Inc.",8742757376,Technology,Software - Application
XP,XP Inc.,8736754688,Financial Services,Capital Markets
CAI,"Caris Life Sciences, Inc.",8726331392,Healthcare,Biotechnology
NTSK,"Netskope, Inc.",8692164608,Technology,Software - Infrastructure
TTEK,"Tetra Tech, Inc.",8650500096,Industrials,Engineering & Construction
MMYT,MakeMyTrip Limited,8640333824,Consumer Cyclical,Travel Services
WTFC,Wintrust Financial Corporation,8561523712,Financial Services,Banks - Regional
SOUN,"SoundHound AI, Inc.",8530835456,Technology,Software - Application
FSV,FirstService Corporation,8528809984,Real Estate,Real Estate Services
RGEN,Repligen Corporation,8476897280,Healthcare,Medical Instruments & Supplies
MARA,"MARA Holdings, Inc.",8468667392,Financial Services,Capital Markets
SFD,"Smithfield Foods, Inc.",8446026752,Consumer Defensive,Packaged Foods
AAON,"AAON, Inc.",8443316224,Industrials,Building Products & Equipment
FIVE,"Five Below, Inc.",8420711936,Consumer Cyclical,Specialty Retail
ONB,Old National Bancorp,8362185728,Financial Services,Banks - Regional
GRFS,"Grifols, S.A.",8354627584,Healthcare,Drug Manufacturers - General
DSGX,The Descartes Systems Group Inc,8320276992,Technology,Software - Application
QRVO,"Qorvo, Inc.",8301821952,Technology,Semiconductors
TSEM,Tower Semiconductor Ltd.,8296039936,Technology,Semiconductors
