Period Ending,"Oct '25Oct 30, 2025","Jan '25Jan 26, 2025","Jan '24Jan 28, 2024","Jan '23Jan 29, 2023","Jan '22Jan 30, 2022","Jan '21Jan 31, 2021",2016 - 2020
Market Capitalization,"4,930,227","3,492,764","1,507,466","501,183","571,000","321,626",Upgrade
Market Cap Growth,45.57%,131.70%,200.78%,-12.23%,77.53%,109.81%,Upgrade
Enterprise Value,"4,884,034","3,464,502","1,500,212","499,944","563,529","319,168",Upgrade
Last Close Price,202.89,142.59,61.00,20.35,22.80,12.95,Upgrade
PE Ratio,57.80,47.93,50.65,114.74,58.55,74.24,Upgrade
Forward PE,35.25,36.24,31.19,52.57,45.52,46.48,Upgrade
PS Ratio,30.03,26.77,24.74,18.58,21.22,19.29,Upgrade
PB Ratio,49.33,44.03,35.08,22.68,21.46,19.04,Upgrade
P/TBV Ratio,52.66,47.63,40.27,31.22,28.66,32.28,Upgrade
P/FCF Ratio,68.45,57.40,55.79,131.61,70.22,68.52,Upgrade
P/OCF Ratio,64.00,54.50,53.67,88.85,62.69,55.24,Upgrade
PEG Ratio,0.98,0.95,0.74,2.42,1.87,2.00,Upgrade
EV/Sales Ratio,29.56,26.55,24.63,18.53,20.94,19.14,Upgrade
EV/EBITDA Ratio,49.69,41.58,43.51,70.21,50.25,54.85,Upgrade
EV/EBIT Ratio,50.89,42.53,45.50,89.64,56.12,67.61,Upgrade
EV/FCF Ratio,67.81,56.93,55.52,131.29,69.30,68.00,Upgrade
Debt / Equity Ratio,0.11,0.13,0.26,0.54,0.45,0.45,Upgrade
Debt / EBITDA Ratio,0.11,0.12,0.32,1.64,1.04,1.27,Upgrade
Debt / FCF Ratio,0.15,0.17,0.41,3.16,1.46,1.62,Upgrade
Asset Turnover,1.46,1.47,1.14,0.63,0.74,0.72,Upgrade
Inventory Turnover,4.61,4.25,3.18,2.99,4.26,4.36,Upgrade
Quick Ratio,3.49,3.67,3.39,2.61,5.97,3.56,Upgrade
Current Ratio,4.21,4.44,4.17,3.52,6.65,4.09,Upgrade
Return on Equity (ROE),109.42%,119.18%,91.46%,17.93%,44.83%,29.78%,Upgrade
Return on Assets (ROA),53.09%,57.42%,38.55%,8.17%,17.20%,12.80%,Upgrade
Return on Capital (ROIC),67.06%,70.89%,46.75%,9.61%,19.94%,15.00%,Upgrade
Return on Capital Employed (ROCE),82.40%,87.10%,59.80%,16.10%,25.20%,19.00%,Upgrade
Earnings Yield,1.76%,2.09%,1.97%,0.87%,1.71%,1.35%,Upgrade
FCF Yield,1.46%,1.74%,1.79%,0.76%,1.42%,1.46%,Upgrade
Dividend Yield,0.02%,0.02%,0.03%,0.08%,0.07%,0.12%,Upgrade
Payout Ratio,1.14%,1.14%,1.33%,9.11%,4.09%,9.12%,Upgrade
Buyback Yield / Dilution,0.99%,0.55%,0.52%,1.10%,-1.00%,-1.54%,Upgrade
Total Shareholder Return,1.01%,0.57%,0.55%,1.18%,-0.93%,-1.41%,Upgrade
